vote_average revenue
6.1 8265
4.9 0
5.6 0
6.2 0
4.1 0
4.9 0
6.2 0
7.8 1503616
7.2 1156000
5.5 0
7 0
7.4 28208
5.3 0
5 0
7.6 0
7.8 0
6.8 0
6.9 0
4.9 0
6.1 0
6.2 0
5.1 0
4.9 0
7.9 0
7.9 0
2.8 0
4.9 0
5.2 0
4.6 0
6.8 0
6.1 0
7.6 0
5.9 0
5.3 0
4.8 0
5.5 0
6.2 0
4.9 0
5.9 0
5 0
4.6 0
5.8 0
7.8 153516
4.7 0
7.5 0
6.7 0
3.8 0
5 0
3.4 0
5.8 0
5.1 53086
5.4 0
4.9 0
4.7 0
5.4 0
5.1 0
5.5 0
7.1 0
5.8 0
5.8 0
5.2 0
6.1 0
5.2 0
6.5 0
4.1 0
6 0
5.2 0
4.7 0
7.9 0
7.1 0
4.1 0
6.5 0
7.9 0
6.8 0
6.3 0
4.8 2710
5.5 0
5.3 0
5.8 0
5.2 0
6.5 0
5.8 0
6.4 0
5.9 0
3.3 0
4.5 0
4.7 0
6.9 0
5.9 0
4.3 0
4.3 1169603
5.3 0
6.9 0
5.6 0
4.8 0
7.3 0
7.8 0
3.7 0
5.2 23000000
5.9 0
7.2 0
6.9 0
5.5 0
4.9 0
4.6 0
7.2 0
6 0
4.6 0
6.6 0
5.9 0
6.4 0
6.1 0
4.7 0
4.8 0
5.6 0
7.4 0
4.3 0
5.4 0
5.7 0
8.8 0
4.5 0
4.8 0
7 0
5.2 0
2.4 0
7.2 0
3.8 0
7.6 0
5.4 0
5.9 0
4.9 0
5.3 0
6.5 0
7.2 0
4.6 0
5.1 0
7.8 0
7.7 0
5.9 0
6.9 0
6.1 0
5.4 0
6.5 0
4.5 0
8.1 0
6.6 0
5.1 0
5.4 0
5.5 0
7.6 0
4.1 0
7.7 0
6.9 0
5.2 0
6.7 0
6.7 0
4.1 0
5.3 0
4.8 0
4.2 0
5.7 0
7.4 0
7.5 0
5.4 0
6.4 0
5.3 0
7.5 0
7.2 0
5.1 0
6.8 0
6 0
6.7 0
6 0
4.9 0
5.7 0
6.8 0
4.1 0
7.4 192400
5.2 0
6.8 0
7.6 0
6.5 0
6.7 0
4.6 0
6.7 0
5.5 0
7.8 0
5.4 65460
4.7 0
6.6 0
7 0
6.7 0
6.3 0
4.9 0
4.9 0
7 0
6.8 0
6.8 0
5.6 0
6 0
7.4 0
3.9 0
6 0
7.2 0
6.9 0
6.5 0
6.9 0
6.8 0
3.4 0
5.6 0
6.1 0
5.2 0
6 0
7 4878242
7.2 0
7.2 0
6.4 0
6.6 0
6.5 0
6.3 0
6 5240
7 0
7.5 0
6.9 0
5.4 0
6.8 0
4.1 0
5.4 0
6.5 0
6.8 0
6.4 0
5.5 0
6 0
5.8 0
6 0
7.1 0
7.1 0
5.2 0
7 0
4.9 0
5.8 0
8.3 0
6.7 0
6.4 0
4.2 0
7.1 0
6.5 0
5.8 0
7.9 775398007
6.2 185438673
6.6 71215869
7.6 38251425
6.4 0
7 303788635
6.4 50750000
7.1 0
6.4 0
5.9 16000000
6.1 0
6.3 237113184
6.2 31063038
6.9 126737428
7 0
6.7 26414658
6 0
5.6 0
7.3 28000000
5.9 0
5 0
5.5 0
4.6 30749142
5.7 30000000
5.8 0
7.1 7000000
6.3 0
7.2 0
5.8 0
5.9 0
6.1 0
7.1 0
5.3 0
5.6 0
5 14717854
7.4 12000000
5.8 1258000
5.6 41687243
