Alfonso Gomez-Rejon - 5.8 - 2014
Alfonso Gomez-Rejon - 7.7 - 2015
Alfred Hitchcock - 8 - 1960
Alfred Hitchcock - 7 - 1963
Alfred Hitchcock - 7.2 - 1964
Alfred Hitchcock - 6.3 - 1966
Alfred Hitchcock - 5.7 - 1969
Alfred Hitchcock - 6.9 - 1972
Alfred Hitchcock - 6.7 - 1976
Alfred Lot - 5.5 - 2010
Alfred Sole - 7.3 - 1976
Alice Wu - 6.3 - 2004
Alison Ellwood - 7.5 - 2013
Alison Klayman - 7.3 - 2012
Alison Murray - 5.4 - 2005
Alistair Legrand - 4.3 - 2015
Alister Grierson - 5.7 - 2011
Ali Zafar - 5.9 - 2014
Allan A. Goldstein - 4.3 - 1994
Allan A. Goldstein - 4.5 - 2000
Allan Arkush - 6.2 - 1979
Allan Arkush - 4 - 1988
Allan Arkush - 6.7 - 1998
Allan Arkush - 5.4 - 2001
Allan Arkush - 5.7 - 2012
Allan Holzman - 5 - 1982
Allan Mauduit - 5.5 - 2008
Allan Moyle - 6.8 - 1990
Allan Moyle - 6.9 - 1995
Allan Ungar - 5.4 - 2014
Allen Coulter - 6.1 - 2006
Allen Coulter - 6.8 - 2010
Allen Hughes - 7.1 - 1993
Allen Hughes - 6.4 - 1995
Allen Hughes - 6.4 - 2001
Allen Hughes - 5.6 - 2009
Allen Hughes - 6.5 - 2010
Allen Hughes - 5.7 - 2013
Allison Anders - 6.4 - 1995
Allison Burnett - 5.4 - 2014
Allison Liddi-Brown - 6.1 - 2009
Alonso Mayo - 4.9 - 2013
Al Pacino - 7 - 1996
Al Reinert - 8.2 - 1989
Ãlvaro de ArmiÃ±Ã¡n - 4.6 - 2009
Alvin Rakoff - 5.7 - 1980
Alvy Ray Smith - 5.3 - 1984
Amardeep Kaleka - 4.9 - 2008
Amariah Olson - 5.4 - 2015
Amariah Olson - 6.2 - 2015
Amelle Chahbi - 5.5 - 2014
Ami Canaan Mann - 5.9 - 2011
Ami Canaan Mann - 5.5 - 2014
Ã‰mile Gaudreault - 5.2 - 2003
Amir Bar-Lev - 6 - 2014
Amma Asante - 7.1 - 2013
Amol Palekar - 6.2 - 2005
Amos Gitai - 7.4 - 2007
Amy Berg - 7.2 - 2006
Amy Berg - 7.5 - 2012
Amy Berg - 5.6 - 2014
Amy Berg - 7.5 - 2015
Amy Heckerling - 6.9 - 1982
Amy Heckerling - 6.5 - 1984
Amy Heckerling - 5.9 - 1985
Amy Heckerling - 5.7 - 1989
Amy Heckerling - 5.1 - 1990
Amy Heckerling - 6.9 - 1995
Amy Heckerling - 5.2 - 2000
Amy Heckerling - 5.3 - 2007
Amy Heckerling - 4.7 - 2012
Amy Holden Jones - 6 - 1982
Amy Rice - 6.8 - 2015
Amy S. Weber - 7.3 - 2015
AnaÃ¯s Barbeau-Lavalette - 5.9 - 2012
Ana Clavell - 4.2 - 2007
Ana Lily Amirpour - 7 - 2014
Anand Tucker - 5.9 - 1998
Anand Tucker - 5.8 - 2005
Anand Tucker - 6 - 2009
Anand Tucker - 6.3 - 2010
Anatole Litvak - 6.1 - 1967
Anders Anderson - 6 - 2009
Anders Morgenthaler - 4.5 - 2013
Anders Morgenthaler - 4 - 2015
AndrÃ© Pellenz - 7.4 - 2013
AndrÃ© Singer - 7.5 - 2014
Andrea Arnold - 6.1 - 2006
Andrea Arnold - 6.6 - 2009
Andrea Arnold - 5.6 - 2011
Andrea Blaugrund - 6.2 - 2011
Andrea Di Stefano - 6.2 - 2014
Andrea Molaioli - 5.6 - 2007
Andreas Borghi - 5 - 2015
Andrei Konchalovsky - 6.6 - 1985
Andrei Konchalovsky - 5.9 - 1989
Andrei Konchalovsky - 6.5 - 1997
Andrei Konchalovsky - 7.4 - 2007
Andrei Konchalovsky - 5.8 - 2010
Andrew Adamson - 5.4 - 2001
Andrew Adamson - 7.1 - 2001
Andrew Adamson - 6.5 - 2004
Andrew Adamson - 6.5 - 2005
Andrew Adamson - 6.1 - 2008
Andrew Adamson - 5.8 - 2012
Andrew Adamson - 5.9 - 2012
Andrew Beall - 6.9 - 2011
Andrew Bergman - 6.7 - 1990
Andrew Bergman - 5.8 - 1992
Andrew Bergman - 6.5 - 1994
Andrew Bergman - 4.4 - 1996
Andrew Bujalski - 6.1 - 2013
Andrew Bujalski - 5.1 - 2015
Andrew Currie - 6.7 - 2006
Andrew Currie - 4 - 2012
Andrew Davis - 6.1 - 1985
Andrew Davis - 5.9 - 1988
Andrew Davis - 4.8 - 1989
Andrew Davis - 5.9 - 1992
Andrew Davis - 7 - 1993
Andrew Davis - 5.3 - 1996
Andrew Davis - 6.3 - 1998
Andrew Davis - 5.5 - 2002
Andrew Davis - 6.4 - 2003
Andrew Davis - 7 - 2006
Andrew Dominik - 6.7 - 2000
Andrew Dominik - 6.9 - 2007
Andrew Dominik - 5.7 - 2012
Andrew Douglas - 6 - 2005
Andrew Douglas - 6.1 - 2013
Andrew Drazek - 6 - 2015
Andrew Droz Palermo - 7.1 - 2014
Andrew Droz Palermo - 5 - 2015
Andrew Erwin - 6.7 - 2011
Andrew Erwin - 5.7 - 2014
Andrew Erwin - 6.8 - 2015
Andrew Fleming - 4.9 - 1988
Andrew Fleming - 5.9 - 1994
Andrew Fleming - 6.2 - 1996
Andrew Fleming - 5.7 - 1999
Andrew Fleming - 5.5 - 2003
Andrew Fleming - 5.6 - 2007
Andrew Fleming - 5.8 - 2008
Andrew Fleming - 6.5 - 2014
Andrew Goth - 4.2 - 2012
Andrew Haigh - 7.4 - 2011
Andrew Haigh - 6 - 2015
Andrew Jacobson - 3.4 - 2008
Andrew Jarecki - 7.4 - 2003
Andrew Jarecki - 5.9 - 2010
Andrew Jarecki - 8.4 - 2015
Andrew Jimenez - 7.1 - 2005
Andrew Jones - 2.6 - 2015
Andrew Kasch - 7.1 - 2010
Andrew Kasch - 5.3 - 2015
Andrew Knight - 5.9 - 1997
Andrew Lancaster - 6.5 - 2009
Andrew Lau - 6 - 2005
Andrew Lau - 5.8 - 2007
Andrew Lau - 5.2 - 2014
Andrew Leman - 6.1 - 2005
Andrew Levitas - 5.5 - 2014
Andrew Loo - 5.2 - 2014
Andrew Martin - 5.3 - 2015
Andrew Marton - 6.9 - 1962
Andrew Matthews - 5.8 - 2013
Andrew Mogel - 4.2 - 2015
Andrew Monument - 6 - 2009
Andrew Morahan - 4.3 - 1994
Andrew Morahan - 3.5 - 2009
Andrew Morgan - 7.6 - 2015
Andrew Niccol - 7.3 - 1997
Andrew Niccol - 5.3 - 2002
Andrew Niccol - 6.9 - 2005
Andrew Niccol - 6.6 - 2011
Andrew Niccol - 6 - 2013
Andrew Niccol - 5.7 - 2015
Andrew O'Connor - 5.8 - 2007
Andrew Parkinson - 3.5 - 2011
Andrew Renzi - 4.5 - 2015
Andrew R. Jones - 6.5 - 2003
Andrew R. Jones - 6.6 - 2003
Andrew Rossi - 7.2 - 2011
Andrew Seklir - 6.8 - 2015
Andrew Sipes - 4.1 - 1995
Andrews Jenkins - 6 - 2007
Andrew Solt - 6.8 - 1988
Andrew Stanton - 6.6 - 1998
Andrew Stanton - 7.4 - 2003
Andrew Stanton - 7.6 - 2008
Andrew Stanton - 6 - 2012
Andrew Thomas Hunt	 - 4.7 - 2009
Andrew Traucki - 6 - 2007
Andrew Traucki - 5.3 - 2010
Andrew Traucki - 4.5 - 2013
Andrew V. McLaglen - 5.7 - 1963
Andrew V. McLaglen - 5.4 - 1965
Andrew V. McLaglen - 5.5 - 1968
Andrew V. McLaglen - 6.3 - 1968
Andrew V. McLaglen - 6.7 - 1970
Andrew V. McLaglen - 5 - 1973
Andrew V. McLaglen - 5.4 - 1978
Andrew Waller - 5.4 - 2007
Andrew Weiner - 4.6 - 2013
Andrey Kravchuk - 6.7 - 2008
Andrzej Bartkowiak - 5.8 - 2000
Andrzej Bartkowiak - 5 - 2001
Andrzej Bartkowiak - 5.9 - 2003
Andrzej Bartkowiak - 4.9 - 2005
Andrzej Bartkowiak - 4.1 - 2009
Andrzej Saramonowicz - 6 - 2007
Andrzej Sekula - 5.4 - 2002
Andrzej Wajda - 6 - 2007
Andy Baybutt - 6.5 - 2012
Andy Bichlbaum - 6.5 - 2009
Andy Byatt - 4.9 - 2003
Andy Cadiff - 5.7 - 1997
Andy Cadiff - 6.2 - 2004
Andy Capper - 6.4 - 2012
Andy Cheng - 4.8 - 2006
Andy Cheng - 5.1 - 2007
Andy Fickman - 6.6 - 2005
Andy Fickman - 6.3 - 2006
Andy Fickman - 6 - 2007
Andy Fickman - 5.4 - 2009
Andy Fickman - 6 - 2010
Andy Fickman - 5.9 - 2012
Andy Fickman - 5.3 - 2015
Andy GarcÃ­a - 6.4 - 2005
Andy Goddard - 6.8 - 2008
Andy Hamilton - 6.6 - 2014
Andy Mitton - 5 - 2010
Andy Mitton - 4.7 - 2013
Andy Muschietti - 6 - 2008
Andy Muschietti - 6 - 2013
Andy Palmer - 6.1 - 2015
Andy Saunders - 8.3 - 2012
Andy Tennant - 6.1 - 1995
Andy Tennant - 6 - 1997
Andy Tennant - 6.8 - 1998
Andy Tennant - 6.3 - 1999
Andy Tennant - 6 - 2002
Andy Tennant - 6.3 - 2005
Andy Tennant - 5.3 - 2008
Andy Tennant - 5.5 - 2010
Andy Wilson - 5.7 - 1997
Anees Bazmee - 6.9 - 2007
Angela Bassett - 4.7 - 2015
Angela Bettis - 4.5 - 2013
Angela Robinson - 5 - 2004
Angela Robinson - 5.2 - 2005
Angel Gracia - 5.2 - 2011
Angelina Jolie - 6.6 - 2011
Angelina Jolie - 7.2 - 2014
Angelina Jolie - 5.4 - 2015
Angelo Pizzo - 6.9 - 2015
Ang Lee - 6.8 - 1993
Ang Lee - 7.1 - 1995
Ang Lee - 6.3 - 1997
Ang Lee - 6.6 - 1999
Ang Lee - 5.2 - 2003
Ang Lee - 7.2 - 2005
Ang Lee - 5.9 - 2009
Ang Lee - 7.1 - 2012
Angus MacLachlan - 5.2 - 2014
Angus MacLane - 7.9 - 2008
Angus MacLane - 6.8 - 2011
Angus MacLane - 7.3 - 2013
Anil Sharma - 5 - 2010
Annabel Jankel - 5.6 - 1988
Annabel Jankel - 4 - 1993
Anna Boden - 6.9 - 2010
Anna Boden - 5.7 - 2015
Anna Mastro - 5.2 - 2015
Anne Depetrini - 4.7 - 2010
Anne Fletcher - 6.7 - 2006
Anne Fletcher - 6.1 - 2008
Anne Fletcher - 6.7 - 2009
Anne Fletcher - 5.3 - 2012
Anne Fletcher - 5.5 - 2015
Anne Fontaine - 4.7 - 2008
Anne Fontaine - 6.2 - 2013
Anne Goursaud - 5.4 - 1995
Anne Goursaud - 4.3 - 1996
Anne Heche - 5.7 - 2000
Anne K. Black - 4 - 2011
Anne K. Black - 5.5 - 2013
Anne K. Black - 5.3 - 2014
Anne K. Black - 5.1 - 2015
Anne Sundberg - 6.5 - 2010
Annette Haywood-Carter - 6.2 - 1996
Anne Wheeler - 5.8 - 1999
Ann Hui - 6.9 - 1990
Ann Turner - 5.6 - 2006
Anouk Whissell - 6.6 - 2015
Anthony Bell - 5.5 - 2010
Anthony Burns - 4.9 - 2015
Anthony C. Ferrante - 4.3 - 2005
Anthony C. Ferrante - 3.9 - 2013
Anthony C. Ferrante - 4.8 - 2013
Anthony C. Ferrante - 4.7 - 2014
Anthony C. Ferrante - 4.5 - 2015
Anthony DiBlasi - 5.8 - 2009
Anthony DiBlasi - 3.3 - 2011
Anthony DiBlasi - 4.2 - 2015
Anthony DiBlasi - 5.6 - 2015
Anthony Drazan - 5.4 - 1998
Anthony D'Souza - 5.9 - 2013
Anthony Fabian - 6.1 - 2013
Anthony Harvey - 6.9 - 1968
Anthony Hemingway - 6.1 - 2012
Anthony Hickox - 5.4 - 1988
Anthony Hickox - 5.1 - 1992
Anthony Hickox - 5.4 - 1993
Anthony Hickox - 4.7 - 2005
Anthony Leonardi III - 4.6 - 2013
Anthony Leondis - 6.4 - 2005
Anthony Leondis - 5.4 - 2008
Anthony Mandler - 8.4 - 2013
Anthony Mann - 6.6 - 1961
Anthony Mann - 5.6 - 1965
Anthony Minghella - 6.9 - 1996
Anthony Minghella - 6.9 - 1999
Anthony Minghella - 6.5 - 2003
Anthony Minghella - 6.5 - 2006
Anthony Perkins - 4.7 - 1986
Anthony Powell - 7.1 - 2013
Anthony Russo - 6.2 - 2002
Anthony Russo - 5.3 - 2006
Anthony Russo - 7.6 - 2014
Anthony Silverston - 5.8 - 2013
Anthony Stacchi - 6.1 - 2006
Anthony Stacchi - 6.6 - 2014
Anthony Waller - 5.8 - 1994
Anthony Waller - 5.3 - 1997
Anthony Waller - 5.4 - 2009
Anthony Wonke - 6.5 - 2015
Antoine Bardou-Jacquet - 6 - 2015
Antoine de Caunes - 6 - 2008
Antoine Fuqua - 6.2 - 1998
Antoine Fuqua - 6.2 - 2000
Antoine Fuqua - 7.2 - 2001
Antoine Fuqua - 6.4 - 2003
Antoine Fuqua - 6.1 - 2004
Antoine Fuqua - 6.9 - 2007
Antoine Fuqua - 6.1 - 2009
Antoine Fuqua - 6.2 - 2013
Antoine Fuqua - 7.2 - 2014
Antoine Fuqua - 7.3 - 2015
Antoine Thomas - 3.6 - 2011
Antoinette Beumer - 6.2 - 2012
Anton Corbijn - 7 - 2007
Anton Corbijn - 5.6 - 2010
Anton Corbijn - 6.3 - 2014
Anton Corbijn - 5.9 - 2015
Antonia Bird - 5.1 - 1995
Antonia Bird - 6.6 - 1999
Antonio Campos - 5.1 - 2008
Antonio Campos - 5.8 - 2012
Antonio Negret - 5.7 - 2011
Antonio Negret - 5.7 - 2012
Antonio Padovan - 5 - 2015
Antoni Stutz - 4.5 - 2013
Anton King - 5.3 - 2014
Antony Hoffman - 5.3 - 2000
Antony Smith - 5 - 2014
Antti Jokinen - 5.6 - 2011
Anurag Basu - 5.8 - 2010
Anurag Kashyap - 5.9 - 2013
April Mullen - 3.9 - 2012
April Mullen - 4.4 - 2015
Aram Rappaport - 5.6 - 2013
Ara Paiaya - 4.6 - 2015
Ã‰ric Besnard - 5.1 - 2010
